; Rank;Company;Country;Sales;Assets;Market Value;Sector;Industry;Snippet
180;181;Philip Morris International;United States;26. Jul;36.9;176.2;Consumer Staples;Tobacco;https://www.pmi.com/markets/germanyDeutschland. Willkommen bei der Philip Morris GmbH (PMG). Seit der Gründung im Jahr 1970 sind wir ständig gewachsen und konnten uns als führender Anbieter von Tabakwaren in Deutschland etablieren. Das Unternehmen gehört zu Philip Morris International Inc., deren Hauptniederlassung in Lausanne beheimatet ist. Eck daten.
181;182;Union Pacific;United States;19. Sep;56.8;86.8;Industrials;Railroads;Die Union Pacific Railroad ist eine der beiden großen Class-1-Eisenbahngesellschaft im Westen der Vereinigten Staaten. Eigentümerin ist die Union Pacific Corporation. CEO und Präsident des Unternehmens ist Lance M. Fritz. Die UP betrei…Neuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefügtDie Union Pacific Railroad ist eine der beiden großen Class-1-Eisenbahngesellschaft im Westen der Vereinigten Staaten. Eigentümerin ist die Union Pacific Corporation. CEO und Präsident des Unternehmens ist Lance M. Fritz. Die UP betreibt heute bis auf die Vorortzüge im Großraum Chicago nur noch Güterverkehr, der Personenfernverkehr wurde 1971 von UP an Amtrak abgegeben. Der Hauptkonkurrent von UP ist die BNSF Railway, die zum großen Teil das gleiche Gebiet abdeckt.
182;183;Delta Air Lines;United States;39.6;58.9;33;Industrials;Airline;https://de.delta.comDelta Air Lines ist führend bei Inlands- und internationalen Reisen und bietet Flugtickets und Flüge zu über 300 Zielen in 60 Ländern. Buchen Sie direkt auf Delta.com.
183;184;Southern Company;United States;19. Sep;109.7;49.3;;;https://southerncompany.deSouthern Company ist eine Band, die seit 1995 in Berlin und ganz Deutschland für Anerkennung sorgt. Die fünf hervorragenden Musiker bringen die Klassiker aus 5 Jahrzenten so perfekt rüber, dass man dabei Raum und Zeit vergisst. Oldies, Pop und Rock´n´Roll wird mit Country zu einem heißen Cocktail gemischt und den Leuten frisch und spritzig serviert. Die Show, ein Ohren- und Augenschmaus ...
184;185;Lowe's;United States;65;34.4;71.1;Energy;;https://www.finanzen.net/aktien/lowes_companies05.06.2020 · LOWES COMPANIES AKTIE und aktueller Aktienkurs. Nachrichten zur Aktie Lowes Companies Inc. | 859545 | LOW | US5486611073
185;186;National Grid;United Kingdom;21. Sep;81.7;48;Utilities;Natural Gas Utilities;https://www.finanzen.net/aktien/national_grid05.06.2020 · National Grid plc ist eine international tätige Unternehmensgruppe im Bereich Energieversorgung. Die Geschäftssegmente sind in UK Stromübertragung, UK Gasversorgung, UK …
186;187;Legal & General Group;United Kingdom;105.5;571.2;18. Feb;Financials;Life & Health Insurance;NaN
187;188;McKesson;United States;196.5;57.9;30. Mai;Health Care;Pharmaceuticals;https://www.mckesson.eu/mck-deMcKesson ist eines der ältesten und größten Gesundheitsunternehmen der Welt. McKesson Europe ist in 12 Ländern tätig und bietet Lösungen für Gesundheit und Wohlbefinden, die jeden Tag das Leben der Menschen verändern. mehr Sitemap. Unternehmen Über McKesson Europe Was wir tun Unser Geschäft in Europa Unternehmensführung Corporate Governance Public Affairs COVID-19 Karriere Arbeiten ...
188;189;Christian Dior;France;43.7;68.3;42.7;Consumer Discretionary;Apparel/Accessories;Vom Luxus-Schlüsselanhänger bis zur Prêt-à-porter- oder Couture-Mode: Entdecken Sie stilvolle Designs und modische Must-haves im Dior-Onlineshop.
189;190;PTT PCL;Thailand;48.7;63.4;32.4;Energy;Oil & Gas Operations;PTT Public Company Limited ist ein thailändisches Mineralölunternehmen mit Firmensitz in Bangkok.
190;191;Dai-ichi Life Insurance;Japan;55.7;438.8;19. Sep;Financials;Life & Health Insurance;NaN
191;192;Twenty-First Century Fox;United States;28. Jan;49.2;57.5;;;Twenty-First Century Fox war ein US-amerikanisches Medienunternehmen mit Sitz in New York City. Es entstand durch die Aufspaltung und Umfirmierung der News Corporation und löste sich im März 2019 auf, da die The Walt Disney Company große Teile des …Neuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefügtTwenty-First Century Fox war ein US-amerikanisches Medienunternehmen mit Sitz in New York City. Es entstand durch die Aufspaltung und Umfirmierung der News Corporation und löste sich im März 2019 auf, da die The Walt Disney Company große Teile des Unternehmens kaufte. Die Teile, die Disney nicht kaufte, firmierten neu als Fox Corporation.
192;193;Canadian Imperial Bank;Canada;14. Jun;393.7;34.5;Financials;Major Banks;Die Canadian Imperial Bank of Commerce ist die viertgrößte Bank Kanadas. Besser bekannt unter dem Kürzel CIBC hat sie ihren Hauptsitz im Commerce Court in Toronto. Sie ist nicht nur in Kanada, sondern auch in den USA, der Karibik, in Asien und Groß…Neuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefügtDie Canadian Imperial Bank of Commerce ist die viertgrößte Bank Kanadas. Besser bekannt unter dem Kürzel CIBC hat sie ihren Hauptsitz im Commerce Court in Toronto. Sie ist nicht nur in Kanada, sondern auch in den USA, der Karibik, in Asien und Großbritannien vertreten. Die Bank verfügt über 1000 Filialen in Kanada und betreibt über 4000 Geldautomaten. Die Aktie der Bank wird sowohl an der Torontoer als auch der New Yorker Börse unter dem Symbol CM gehandelt.
193;194;FedEx;United States;57.6;46.8;52.3;Industrials;Air Courier;https://www.fedex.com/de-de/home.htmlFedEx ist stolz, der offizielle Logistikpartner zu sein. Erfahren Sie mehr darüber, wie wir die UEFA EURO 2020™ beliefern. Erfahren Sie mehr. Schnelle, reibungslose E-Commerce-Zustellungen. Sind Sie bereit Ihr Online-Geschäft auf das nächste Level zu bringen? Entdecken Sie komfortable Zustelloptionen und bieten Sie Rücksendungen sowie andere E-Commerce-Lösungen an, die sich Ihre Käufer ...
194;195;GlaxoSmithKline;United Kingdom;37.6;73;99.8;Health Care;Pharmaceuticals;Die GlaxoSmithKline plc ist ein britisches Pharmaunternehmen mit Hauptsitz in London. Das Unternehmen hat Produktionsstätten in Europa sowie in Nordamerika und Asien. Es stellt Arzneimittel, Impfstoffe, Gesundheitsprodukte und Hygieneart…Neuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefügtDie GlaxoSmithKline plc ist ein britisches Pharmaunternehmen mit Hauptsitz in London. Das Unternehmen hat Produktionsstätten in Europa sowie in Nordamerika und Asien. Es stellt Arzneimittel, Impfstoffe, Gesundheitsprodukte und Hygieneartikel her. 2014 übernahm Novartis für insgesamt 16 Milliarden US-Dollar die Krebsmedikamente von GSK; GSK zahlte 7,1 Milliarden Dollar plus Umsatzbeteiligung für die Novartis-Impfstoffe. Sein OTC-Arzneimittel-Geschäft brachte Novartis in ein Joint Venture mit GSK ein. Am 27. März 2018 verkündeten die beiden Unternehmen, GSK werde die Novartis-Anteile an dem Joint Venture für 13 Milliarden US-Dollar übernehmen.
195;196;Deutsche Post;Germany;63.4;40.6;41;Industrials;Air Courier;https://www.deutschepost.deDie Deutsche Post im Internet: Porto berechnen, Online Porto drucken, Filialen und Briefkästen finden, Briefmarken und Postprodukte im Online-Shop, Innovative Leistungen, Kundenservice.
196;197;3M;United States;30. Jan;32.9;113.5;Industrials;Conglomerates;https://www.3mdeutschland.deMit über 50.000 Produkten und 25.000 Patenten gehört der Multitechnologiekonzern 3M zu den innovativsten Unternehmen der Welt. Grundlage für seine Innovationskraft ist die vielfältige Nutzung von 46 eigenen Technologieplattformen. 3M ist mit fast 90.000 Mitarbeitern in 200 Ländern vertreten.
197;198;L'Oréal Group;France;28. Jun;37.6;107.5;Industrials;;Wir laden Sie ein, die Markenwelt von L'Oréal Paris zu entdecken. Unsere Produkte für Haare, Haut und Make-up stehen für Sie zum virtuellen Test bereit.
198;199;Aflac;United States;22. Jul;129.8;29.2;Financials;Life & Health Insurance;Aflac Incorporated ist ein US-amerikanisches Versicherungsunternehmen mit Sitz in Columbus, Georgia. Aflac ist im S&P 500 gelistet und hat einen Börsenwert von 24 Milliarden US-Dollar. Das Unternehmen bietet insbesondere Kranken- un…Neuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefügtAflac Incorporated ist ein US-amerikanisches Versicherungsunternehmen mit Sitz in Columbus, Georgia. Aflac ist im S&P 500 gelistet und hat einen Börsenwert von 24 Milliarden US-Dollar. Das Unternehmen bietet insbesondere Kranken- und Lebensversicherungen und hat mehr als 40 Millionen Kunden in den Vereinigten Staaten und Japan, wobei 75 % des Umsatzes auf letzteres entfallen. Trotz der Naturkatastrophe in Japan 2011, deren Folgen und der Finanzmarktkrise erhöhte der Versicherer 2012 das 30. Jahr in Folge die Dividende der Aktionäre.
199;200;Allstate;United States;36.3;110.4;29. Jun;Financials;Diversified Insurance;19 Zeilen · 19.06.2020 · Hier erhalten Sie eine Übersicht über die Dividendenzahlung und …
200;201;Hitachi;Japan;85.8;82.7;25. Jun;Information Technology;Electronics;https://www.hitachi.eu/de-deHitachi liefert integrierte Lösungen, von Hydraulikbaggern und anderen Baumaschinen bis hin zu den dazugehörigen Service- und Wartungsleistungen. Durch das über Jahrzehnte vertiefte Fachwissen in diesen Technologien und ein ausgeprägtes technisches Know-how umfasst die Angebotspalette von Hitachi Lösungen für unterschiedlichste Branchen, ob nun Tief- und Ingenieurbau, Abriss- und ...
201;202;Brookfield Asset Management;Canada;24. Sep;159.8;35.4;Financials;Real Estate;https://www.brookfield.comInvested in long-term value. As an alternative asset manager with over $600 billion in assets under management and an over 100-year heritage as owners and operators, we are invested in long-life, high-quality assets and businesses in more than 30 countries around the world. Scroll.
202;203;BT Group;United Kingdom;31. Jul;54;38.5;Telecommunication Services;Telecommunications services;05.06.2020 · BT GROUP AKTIE und aktueller Aktienkurs. Nachrichten zur Aktie BT Group plc | 794796 | BTGOF | GB0030913577
203;204;NextEra Energy;United States;15. Feb;90;60.4;Utilities;Electric Utilities;About NextEra Energy. As one of America's largest capital investors in infrastructure, with between $50 and $55 billion in new infrastructure investments planned through 2022, we're helping ensure that the next energy to power our dreams will be American energy. LEARN MORE. 2021 ESG REPORT . Top 20. In the world for innovation, according to Fortune. $50-55 billion. Planned investments in ...
204;205;BlackRock;United States;11. Feb;220.2;62.6;Financials;Investment Services;BlackRock ist einer der weltweit führenden Investment-Manager. Informieren Sie sich über iShares ETFs, BlackRock Fonds und ETF-Portfoliolösungen.
205;206;Continental;Germany;44.9;39.4;42.7;Consumer Discretionary;Auto & Truck Parts;https://www.continental.com/de01.06.2021 · Continental entwickelt wegweisende Technologien und Dienste für die nachhaltige und vernetzte Mobilität der Menschen und ihrer Güter. Wir bieten sichere, effiziente, intelligente und erschwingliche Lösungen für Fahrzeuge, Maschinen, Verkehr und …
206;207;MS&AD Insurance;Japan;47.8;178.3;19. Feb;Financials;Property & Casualty Insurance;Die Multiple Sklerose oder Encephalomyelitis disseminata ist eine chronisch-entzündliche neurologische Autoimmunerkrankung mit sehr unterschiedlichen Verlaufsformen, weshalb sie auch als die „Krankheit mit tausend Gesichtern“ bezeichnet wurde. Bei ihr werden die Markscheiden, die elektrisch isolierende äußere Schicht der Nervenfasern im Zentral…Neuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefügtDie Multiple Sklerose oder Encephalomyelitis disseminata ist eine chronisch-entzündliche neurologische Autoimmunerkrankung mit sehr unterschiedlichen Verlaufsformen, weshalb sie auch als die „Krankheit mit tausend Gesichtern“ bezeichnet wurde. Bei ihr werden die Markscheiden, die elektrisch isolierende äußere Schicht der Nervenfasern im Zentralnervensystem, angegriffen.
207;208;Aviva;United Kingdom;74.3;511.1;25. Sep;Financials;Life & Health Insurance;Aviva Insurance Ireland DAC ist nun der Leistungserbringer Ihrer Police (oder der EWR-Risiken, wenn Ihre Police sowohl EWR-Risiken als auch Risiken im Vereinigten Königreich oder anderswo abdeckt). Die Übertragung hat keine Auswirkungen auf: · die Funktionsweise Ihrer Police;
208;209;Cigna;United States;39.7;60.3;39;Health Care;Managed Health Care;CIGNA ist ein US-amerikanisches Versicherungsunternehmen, das sich mittlerweile vor allem auf Krankenversicherungen verschiedener Art insbesondere mit Firmenkunden sowie damit zusammenhängende Dienstleistungen spezialisi…Neuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefügtCIGNA ist ein US-amerikanisches Versicherungsunternehmen, das sich mittlerweile vor allem auf Krankenversicherungen verschiedener Art insbesondere mit Firmenkunden sowie damit zusammenhängende Dienstleistungen spezialisiert hat. Das ursprünglich in verschiedenen Versicherungssparten aktive Unternehmen hat seinen Hauptsitz in Bloomfield, Connecticut und ist im Aktienindex S&P 500 gelistet.
209;210;Phillips 66;United States;71.2;51.7;39.9;Energy;Oil & Gas Operations;Die Phillips 66 beinhaltet das abgespaltene und als eigenständige Gesellschaft an die Börse gebrachte Downstream-Geschäft von ConocoPhillips. Der Name leitet sich von der Phillips Petroleum Company und deren Marke „Phillips 66“ ab. Phillips war ein U…Neuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefügtDie Phillips 66 beinhaltet das abgespaltene und als eigenständige Gesellschaft an die Börse gebrachte Downstream-Geschäft von ConocoPhillips. Der Name leitet sich von der Phillips Petroleum Company und deren Marke „Phillips 66“ ab. Phillips war ein US-amerikanisches Öl- und Gasunternehmen, das am 30. August 2002 mit Conoco zu ConocoPhillips fusionierte.
210;211;Valero Energy;United States;75.7;46.8;29. Apr;Energy;Oil & Gas Operations;Die Valero Energy Corporation ist ein US-amerikanisches Mineralölunternehmen mit Hauptsitz in San Antonio, Texas. Valero Energy beschäftigt rund 10.000 Mitarbeiter weltweit. Zum Unternehmen gehören 15 Raffinerien in den Vereinigten Staat…Neuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefügtDie Valero Energy Corporation ist ein US-amerikanisches Mineralölunternehmen mit Hauptsitz in San Antonio, Texas. Valero Energy beschäftigt rund 10.000 Mitarbeiter weltweit. Zum Unternehmen gehören 15 Raffinerien in den Vereinigten Staaten, in Kanada und in karibischen Staaten. Valero Energy ist der größte Raffinerieeigentümer in den Vereinigten Staaten und zählt zu den größten Tankstellenbesitzern in Nordamerika.
211;212;Enbridge;Canada;26. Jan;64;69.3;Energy;Oil Services & Equipment;Enbridge ist ein börsennotiertes Unternehmen aus Kanada mit Firmensitz in Calgary, das in Kanada und den USA das weltgrößte Rohöl- und Flüssigkeiten-Pipeline-System betreibt. Das Leitungssystem hat eine Länge von 13.500 km und transportiert tägli…Neuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefügtEnbridge ist ein börsennotiertes Unternehmen aus Kanada mit Firmensitz in Calgary, das in Kanada und den USA das weltgrößte Rohöl- und Flüssigkeiten-Pipeline-System betreibt. Das Leitungssystem hat eine Länge von 13.500 km und transportiert täglich rund 2 Millionen Barrel. Das Unternehmen ist im Aktienindex S&P/TSX 60 gelistet.
212;213;Mondelēz International;United States;25. Sep;61.5;67.4;Consumer Discretionary;;Mondelez International ist ein börsennotierter US-amerikanischer Lebensmittelkonzern mit Sitz in Deerfield, Illinois, der überwiegend auf Markenprodukte in den Bereichen Snacks und Süßwaren spezialisiert ist. Das Unternehmen be…Neuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefügtMondelez International ist ein börsennotierter US-amerikanischer Lebensmittelkonzern mit Sitz in Deerfield, Illinois, der überwiegend auf Markenprodukte in den Bereichen Snacks und Süßwaren spezialisiert ist. Das Unternehmen beliefert Kunden in etwa 160 Ländern.
213;214;People's Insurance Company;China;64.6;129.7;17. Mai;Financials;Property & Casualty Insurance;NaN
214;215;McDonald's;United States;24. Jun;31;106.4;Consumer Discretionary;Restaurants;https://www.mcdonalds.com/de/de-de.htmlMit der McDonald's App hast du die ganze Welt von McDonald's jederzeit in deiner Hand. Das Beste? Über die App kannst du einfach und bequem von überall bestellen und bezahlen. * Jetzt downloaden * #50for50 für alle Amateursportvereine * Zu unserem 50. Geburtstag schenken wir einem Amateursportverein einen der längsten Sponsoringverträge Deutschlands. Wie ihr gewinnen könnt? …
215;216;ArcelorMittal;Luxembourg;56.8;75.1;25. Jan;Materials;Iron & Steel;https://germany.arcelormittal.comZwischen März 2015 und März 2016 liefert ArcelorMittal 23.000 Tonnen Grobblech für den Bau des Wikinger-Windparks vor der Küste Rügens. Weiterlesen. Transanatolische Pipeline. Für den Bau einer der weltweit größten Öl- und Gaspipelines wird ArcelorMittal Bremen insgesamt 310.000 Tonnen warmgewalzte Coils liefern. Weiterlesen. Kunstprojekt. Die Stängel der Keramikblumen, die für ein ...
216;217;East Japan Railway;Japan;26. Mai;66.1;34.2;Industrials;Railroads;11 Zeilen · 18.06.2020 · East Japan Railway Co. 1,28: 100,00: JPY: 2021: East Japan Railway Co. …
217;218;Itochu;Japan;44;72;22. Apr;Industrials;Trading Companies;https://www.itochu.deIhr Handelspartner mit globalem Netzwerk. Ein finanzstarker Beschaffungs- und Vertriebspartner mit globalem Netzwerk – das ist die ITOCHU Deutschland GmbH mit ihren Standorten in Düsseldorf und Hamburg. Mit unseren Spezialisten aus den Bereichen Chemikalien, Maschinen, Kunststoffen und Textilien profitieren Sie von einem nachhaltigen Rohstoffhandel.
218;219;Japan Tobacco;Japan;19. Jul;40.7;66.4;Consumer Staples;Tobacco;05.06.2020 · Japan Tobacco Inc ist in 70 Ländern tätig, verkauft seine Produkte in 120 Länder weltweit und hat seinen Hauptsitz in Tokio, Japan. zum Unternehmensprofil Zur Aktie Japan Tobacco
219;220;EI du Pont de Nemours;United States;24. Jun;40;69.2;Materials;Diversified Chemicals;DuPont de Nemours ist ein US-amerikanischer Konzern. Er ist einer der weltweit größten Konzerne der Chemischen Industrie und in ca. 90 Ländern aktiv. In den Forbes Global 2000 der weltweit größten Unternehmen belegt DowDuPont Platz 122. Da…Neuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefügtDuPont de Nemours ist ein US-amerikanischer Konzern. Er ist einer der weltweit größten Konzerne der Chemischen Industrie und in ca. 90 Ländern aktiv. In den Forbes Global 2000 der weltweit größten Unternehmen belegt DowDuPont Platz 122. Das Unternehmen kam Mitte 2018 auf einen Börsenwert von über 155 Mrd. USD.
220;221;Eli Lilly;United States;21. Feb;38.8;94.1;Health Care;;Lilly unites caring with discovery to create medicines that make life better for people around the world.
221;222;Panasonic;Japan;66.6;52.7;26. Feb;Consumer Discretionary;Consumer Electronics;https://www.panasonic.com/deEntdecken Sie innovative Produkte von Panasonic aus der Unterhaltungs- & Haushaltselektronik: Flachbildfernseher LUMIX G Wechselobjektivkameras Home Entertainement Darüber hinaus finden Sie alles rund um Küche & Haushalt und Körperpflege
222;223;Sun Hung Kai Properties;Hong Kong;13. Apr;80.1;43.6;Financials;Real Estate;8 Zeilen · 05.06.2020 · Sun Hung Kai Properties Dividenden CHART in HKD. 2010 2013 2016 2019 …
223;224;Fiat Chrysler Automobiles;United Kingdom;122.8;110.1;15. Mai;;;25.03.2020 · Fiat Chrysler Automobiles. Unter Auflagen: PSA und Fiat Chrysler dürfen fusionieren. Die Wettbewerbshüter der EU haben die geplante Megafusion zwischen dem Opel-Mutterkonzern PSA und Fiat ...
224;225;LafargeHolcim;Switzerland;27. Mrz;68.5;35.4;Consumer Discretionary;;27.07.2015 · LafargeHolcim Foundation for Sustainable Construction; Standorte. Standortkarte; Hauptverwaltung und ausgewählte Werke; Jobs & Karriere. Was uns antreibt; Lernen Sie uns kennen; Werden Sie Teil unseres Teams; Stellenangebote; Aktuelles & Events. Wir bauen die Zukunft; Pressemitteilungen; Medienkontakt; Bilddatenbank; Publikationen; Kundenmagazin perspektiven; …
225;226;Qatar National Bank;Qatar;11. Jul;197.6;37.7;Financials;Regional Banks;Die Qatar National Bank ist die größte private Universalbank in Katar. Sie wurde 1964 in Doha gegründet und zählt heute zu den größten Banken im Nahen Osten. Die Bilanzsumme betrug 2009 rund 179,3 Mrd. QAR, was am 31. Dezember 2009 z…Neuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefügtDie Qatar National Bank ist die größte private Universalbank in Katar. Sie wurde 1964 in Doha gegründet und zählt heute zu den größten Banken im Nahen Osten. Die Bilanzsumme betrug 2009 rund 179,3 Mrd. QAR, was am 31. Dezember 2009 zum Interbankenkurs etwa 34,3 Mrd. € entsprach. Dies entspricht in etwa der Bilanzsumme der Hamburger Sparkasse. Der Gewinn lag bei ca. 4,2 Mrd. QAR, was am 31. Dezember 2009 zum Interbankenkurs etwa 801 Mio. € entsprach. Der RoE lag bei ca. 21,2 % und die Eigenkapitalquote bei ca. 11 %. Die Bank hat 1.300 Mitarbeiter.
226;227;Target;United States;69.5;37.4;29. Apr;Consumer Discretionary;Discount Stores;https://dict.leo.org/englisch-deutsch/targetLernen Sie die Übersetzung für 'target' in LEOs Englisch ⇔ Deutsch Wörterbuch. Mit Flexionstabellen der verschiedenen Fälle und Zeiten Aussprache und relevante Diskussionen Kostenloser Vokabeltrainer
227;228;Fresenius;Germany;32.2;49;43.9;Health Care;Medical Equipment & Supplies;https://www.fresenius.deFresenius ist ein weltweit tätiger Gesundheitskonzern mit Produkten und Dienstleistungen für die Dialyse, das Krankenhaus und die ambulante medizinische Versorgung von Patienten.
228;229;Danaher;United States;19. Sep;45.3;59.7;Industrials;Conglomerates;27.05.2021 · Danaher’s innovative companies are developing leading-edge diagnostic tools, advancing life-saving scientific research and protecting our global food and water supplies. The Potential to Grow. Exceptional people accomplish outstanding things here, in a dynamic atmosphere of collaboration, professional growth and continuous improvement. The Potential to Outperform. Danaher’s proven …
229;230;Danske Bank;Denmark;11. Jul;494.2;31.9;Financials;Major Banks;https://danskebank.comDanske Bank endeavours to ensure that the information is accurate and up-to-date, and reserves the right to make corrections to the content at any time, without prior notice. However, Danske Bank cannot guarantee that such information is complete or that it has not been modified by an outside party, by means of a virus or system intrusion, for example. No information on this website may be ...
230;231;General Dynamics;United States;31.4;32.9;57;Industrials;Aerospace & Defense;General Dynamics ist ein US-amerikanischer Rüstungskonzern. Das Unternehmen ist im New York Stock Exchange mit dem Kürzel GD gelistet. General Dynamics erwirtschaftet einen Umsatz von etwa 39 Milliarden US-Dollar jährlich. CEO ist Phebe No…Neuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefügtGeneral Dynamics ist ein US-amerikanischer Rüstungskonzern. Das Unternehmen ist im New York Stock Exchange mit dem Kürzel GD gelistet. General Dynamics erwirtschaftet einen Umsatz von etwa 39 Milliarden US-Dollar jährlich. CEO ist Phebe Novakovic.
231;232;Reynolds American;United States;12. Mai;51.1;90.6;Consumer Staples;Tobacco;21 Zeilen · Reynolds American Anleihen: Hier finden Sie eine Auflistung über alle Reynolds …
232;233;Denso;Japan;41.1;43.6;33.6;Consumer Discretionary;Auto & Truck Parts;Die Denso Corporation ist ein globaler Automobilzulieferer, insbesondere für Automobilelektronik und Automobilmechatronik. Der Firmensitz befindet sich in Kariya in der Präfektur Aichi in Japan.
233;234;Bristol-Myers Squibb;United States;19. Apr;33.7;88;Health Care;Pharmaceuticals;Bristol Myers Squibb Germany Sie können sich an unseren EU-Datenschutzbeauftragten unter EUDPO@BMS.com wenden, um Ihre Datenschutzrechte auszuüben und um Ihre Bedenken oder Fragen in Bezug auf den Umgang mit Ihren personenbezogenen Daten durch die Bristol-Myers Squibb GmbH & Co. KGaA zu äußern.
234;235;CRRC;China;34.2;48.7;42.6;;;Die China Railway Rolling Stock Corporation ist der größte Schienenfahrzeughersteller der Welt und einer der größten Industriekonzerne. Er hat seinen Hauptsitz in Peking in China.
235;236;ABB;Switzerland;33.8;39.7;49.9;Industrials;Conglomerates;https://new.abb.com/deABB ist ein führendes Technologieunternehmen, das weltweit die Transformation von Gesellschaft und Industrie in eine produktivere und nachhaltigere Zukunft energisch vorantreibt. Durch die Verbindung ihres Portfolios in den Bereichen Elektrifizierung, Robotik, Automation und Antriebstechnik mit Software definiert ABB die Grenzen des technologisch Machbaren und ermöglicht so neue ...
236;237;Exelon;United States;32.2;114.9;33.3;Utilities;Electric Utilities;Exelon Corporation ist ein großer US-amerikanischer Energieversorger mit Hauptsitz in Chicago. Das Unternehmen ist im Aktienindex S&P 500 und im Dow Jones Utility Average gelistet. Das Unternehmen entstand im Oktober 2000 durch die Fusion der …Neuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefügtExelon Corporation ist ein großer US-amerikanischer Energieversorger mit Hauptsitz in Chicago. Das Unternehmen ist im Aktienindex S&P 500 und im Dow Jones Utility Average gelistet. Das Unternehmen entstand im Oktober 2000 durch die Fusion der Unternehmen PECO Energy Company aus Philadelphia und Unicom aus Chicago.
237;238;Cathay Financial;Taiwan;29;252.2;19. Aug;Financials;Life & Health Insurance;NaN
238;239;Sun Life Financial;Canada;19. Sep;188.7;21. Sep;Financials;Life & Health Insurance;Sun Life Financial Inc. ist ein kanadisches Unternehmen mit Hauptsitz in Toronto, Ontario. Sun Life Financial bietet Finanzdienstleistungen verschiedener Art an, darunter auch Lebensversicherungen. Das Unternehmen das …Neuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefügtSun Life Financial Inc. ist ein kanadisches Unternehmen mit Hauptsitz in Toronto, Ontario. Sun Life Financial bietet Finanzdienstleistungen verschiedener Art an, darunter auch Lebensversicherungen. Das Unternehmen das hauptsächlich im nordamerikanischen und asiatischen Markt tätig ist beschäftigt rund 27.800 Mitarbeiter. Das Unternehmen ist an der Börse von Toronto im Aktienindex S&P/TSX 60 gelistet.
239;240;Repsol;Spain;38.4;68.4;23. Aug;Energy;;01.06.2021 · At Repsol, we transform energy to bring it closer to people, and we leverage technological innovation to take on the present and the future. Our Repsol Campus is located at Mendez Álvaro, 44 - Madrid, Spain 28045
240;241;Kroger;United States;115.3;37.5;27. Mrz;Consumer Staples;Food Retail;05.06.2020 · KROGER AKTIE und aktueller Aktienkurs. Nachrichten zur Aktie Kroger | 851544 | KR | US5010441013
241;242;Abbott Laboratories;United States;20. Sep;55;75.7;Health Care;Pharmaceuticals;Sie sind dabei, die Abbott Websites zu verlassen und zu einer Website einer Drittfirma zu wechseln. Links, die Sie von den weltweiten Abbott-Websites zu anderen Seiten leiten, unterliegen nicht der Kontrolle durch Abbott und Abbott ist nicht für die Inhalte einer solchen Website oder untergeordnete Links solcher Websites verantwortlich.
242;243;HCA Holdings;United States;41.5;33.8;32.6;Health Care;Healthcare Services;Hospital Corporation of America ist ein gewinnorientiertes US-amerikanisches Unternehmen mit Sitz in Nashville, Tennessee, der mehrere Gesundheitseinrichtungen an rund 2000 Versorgungsstandorten besitzt und betreibt. Daz…Neuer Inhalt wird bei Auswahl oberhalb des aktuellen Fokusbereichs hinzugefügtHospital Corporation of America ist ein gewinnorientiertes US-amerikanisches Unternehmen mit Sitz in Nashville, Tennessee, der mehrere Gesundheitseinrichtungen an rund 2000 Versorgungsstandorten besitzt und betreibt. Dazu gehören etwa 185 Krankenhäuser, Chirurgiezentren, Notaufnahmen, Notfallzentren und Ärztekliniken in 21 Bundesstaaten und im Vereinigten Königreich.
243;244;State Bank of India;India;43.7;493.3;36.5;Financials;Regional Banks;"www.onlinesbi.com""Consent (as per annexure-I) for Data Sharing and use of personal information for opening of Savings / Current / Deposit Account with State Bank of India"" Click …"
